#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, марта 1, 2026","вторник, марта 31, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
 Ужин,964,"45,6","11,052","115,22","13,2","12,34","25,98",2051,110,1514
  O'Zera Молочный Шоколад,66,"4,08",,"6,36",,,"0,9",,,
   12 г
  Картошка по Деревенски,388,"14,52","2,052","59,86","6,2","3,34","7,08",1126,0,1514
   300 г
  Shake Shack Шрум Бургер,510,27,9,49,7,9,18,925,110,
"   1 бургер, 490 г"
 Перекус/Другое,204,0,"0,68","22,1",,"10,88","29,92","0,31",,
  Delta Vitaline Go Protein,204,0,"0,68","22,1",,"10,88","29,92","0,31",,
   340 г

"среда, марта 25, 2026",2070,"96,94","3,338","188,46","1,6","22,97","151,88",799,312,201
 Завтрак,516,"8,75","1,906","66,61","1,6","22,48","40,65",677,126,146
  Exponenta High-Pro Черника-Земляника,150,0,,"6,25",,"6,25",30,,,
"   1 порцияininini, 250 г"
  Оладьи,366,"8,75","1,906","60,36","1,6","16,23","10,65",677,126,146
   150 г
 Обед,862,"66,14",,"79,3",,,"31,32",,,
  Перекресток Салат Винегрет Овощной с Маслом,202,"8,64",,"24,3",,,"8,82",,,
   180 г
  Русский Хлеб Жаркое по Домашнему,660,"57,5",,55,,,"22,5",,,
   250
 Ужин,520,"16,85","1,432","15,75",0,"0,49","75,51",122,186,55
  Вареное Яйцо,68,"4,65","1,432","0,49",0,"0,49","5,51",122,186,55
   1 средний
  Fish House Кальмар Стружка,92,"0,4",,6,,,16,,,
   40 г
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",275,10,,"1,25",,,45,,,
   250 г
  Мистер Салат Спаржа Соевая по-Корейски,85,"1,8",,"8,01",,,9,,,
   90 г
 Перекус/Другое,172,"5,2",,"26,8",,,"4,4",,,
  Кириешки Сухарики,172,"5,2",,"26,8",,,"4,4",,,
   40 г

"четверг, марта 26, 2026",2222,"101,86",,"143,87","7,5",5,"182,31",150,,755
 Завтрак,480,"7,3",,"68,8","7,5",5,"35,5",150,,755
  Шеф Перекресток Каша Рисовая на Кокосовом Молоке с Фруктами,265,"7,3",,"44,8",,5,"5,5",,,
"   1 порция, 250 г"
  Пестравка Hi-Pro Cocktail со Вкусом Клубники,215,0,,24,"7,5",,30,150,,755
   500 г
 Обед,848,"57,29",,"53,43",,,"29,2",,,
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
  Перекресток Шашлык из Курицы в Кефире,475,"25,25",,"35,25",,,"26,5",,,
   250 г
 Ужин,800,"34,47",,"15,76",,0,"106,41",,,
  Брест Литовск Сыр Классический 45%,238,"18,27",,0,,0,"18,41",,,
   70 г
  Мистер Салат Спаржа Соевая по-Корейски,85,"1,8",,"8,01",,,9,,,
   90 г
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",385,14,,"1,75",,,63,,,
   350 г
  Fish House Кальмар Стружка,92,"0,4",,6,,,16,,,
   40 г
 Перекус/Другое,94,"2,8",,"5,88",,,"11,2",,,
  Савушкин Продукт Teos Греческий Йогурт,94,"2,8",,"5,88",,,"11,2",,,
   140 г

"пятница, марта 27, 2026",2750,"108,16","0,004","185,69",0,"19,59","192,87",5,0,73
 Завтрак,786,"21,9",,"74,98",,"10,92",72,,,
  Савушкин Продукт Йогурт Греческий Teos 2%,94,"2,8",,"5,88",,"10,92","11,2",,,
   140 г
  Перекресток Сырники Жареные,477,"19,1",,"45,1",,,"30,8",,,
"   1 порция, 220 г"
  Let's Go Hi-Pro Cocktail со Вкусом Ванили,215,0,,24,,,30,,,
   500 мл
 Обед,886,"57,29","0,004","62,96",0,"8,67","29,46",5,0,73
  Кофе с Сахаром,38,0,"0,004","9,53",0,"8,67","0,26",5,0,73
   1 кружка (240 мл)
  Перекресток Коул Слоу,373,"32,04",,"18,18",,,"2,7",,,
   180 г
  Перекресток Шашлык из Курицы в Кефире,475,"25,25",,"35,25",,,"26,5",,,
   250 г
 Ужин,513,"28,27",,"1,25",,0,"63,41",,,
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",275,10,,"1,25",,,45,,,
   250 г
  Брест Литовск Сыр Классический 45%,238,"18,27",,0,,0,"18,41",,,
   70 г
 Перекус/Другое,565,"0,7",0,"46,5",0,0,28,,,
  Хамовники Пиво Баварское,202,0,0,18,0,0,0,,,
   450 мл
  Хамовники Пиво Баварское,202,0,0,18,0,0,0,,,
   450 мл
  Морские Кальмары Сушеные Соленые,161,"0,7",,"10,5",,0,28,,,
   70 г

"суббота, марта 28, 2026",2226,"63,04","0,154","247,88","13,2","90,12","173,04",6,0,590
 Завтрак,590,"13,3",0,"17,88",0,"10,92","98,4",,,
  Савушкин Продукт Теос 2% Греческий Йогурт,94,"2,8",,"5,88",,"10,92","11,2",,,
   140 г
  Перекресток Грудка Куриная Гриль,336,"7,5",,0,0,0,"67,2",,,
   300 г
  Ehrmann Vanilla Pudding High Protein,160,3,0,12,,,20,,,
"   1 баночка, 200 г"
 Обед,724,"22,07","0,077","109,12","6,6","28,68","26,12",3,0,295
  Яблоко,144,"0,47","0,077","38,12","6,6","28,68","0,72",3,0,295
   2 средних  (7 см диаметром) (около 3 на 450 г)
  Армпродукт Хачапури с Сыром,580,"21,6",,71,,,"25,4",,,
   200 г
 Ужин,724,"22,07","0,077","109,12","6,6","28,68","26,12",3,0,295
  Яблоко,144,"0,47","0,077","38,12","6,6","28,68","0,72",3,0,295
   2 средних  (7 см диаметром) (около 3 на 450 г)
  Армпродукт Хачапури с Сыром,580,"21,6",,71,,,"25,4",,,
   200 г
 Перекус/Другое,188,"5,6",,"11,76",,"21,84","22,4",,,
  Савушкин Продукт Теос 2% Греческий Йогурт,94,"2,8",,"5,88",,"10,92","11,2",,,
   140 г
  Савушкин Продукт Теос 2% Греческий Йогурт,94,"2,8",,"5,88",,"10,92","11,2",,,
   140 г

"воскресенье, марта 29, 2026",1735,"69,29","7,95","179,58","17,35","28,47","103,02",3,,524
 Завтрак,448,"16,7",,2,0,0,"72,6",,,
  Лента Арахисовая Паста Crunchy,112,"9,2",,2,,0,"5,4",,,
   20 г
  Перекресток Грудка Куриная Гриль,336,"7,5",,0,0,0,"67,2",,,
   300 г
 Обед,847,"49,65","5,45","82,25","12,35","1,3","17,9",,,
  Smart  Грецкий Орех Ядра Сушеные,349,32,"3,5","6,85","3,35","1,3","7,4",,,
   50 г
  Хлебный Дом Хлеб Бородинский в Нарезке,300,"2,25","1,95",60,9,,"10,5",,,
   150 г
  Дядя Ваня Икра Кабачковая,198,"15,4",,"15,4",,,0,,,
   220 г
 Ужин,,,,,,,,,,
 Перекус/Другое,440,"2,94","2,5","95,33",5,"27,17","12,52",3,,524
  Клементины,139,"0,44",,"35,58",5,"27,17","2,52",3,,524
   4 фрукта
  NEO Греческий Йогурт,85,"2,5","2,5","5,75",0,0,10,0,,
   125 г
  Фруто Няня Банан с Мякотью,216,0,,54,,0,0,,,
   450 г

"понедельник, марта 30, 2026",846,"24,4",,"75,48",0,"10,92",82,0,0,0
 Завтрак,846,"24,4",,"75,48",0,"10,92",82,0,0,0
  Савушкин Продукт Йогурт Греческий Teos 2%,94,"2,8",,"5,88",0,"10,92","11,2",0,0,0
   140 г
  Перекресток Сырники Жареные,477,"19,1",,"45,1",,,"30,8",,,
"   1 порция, 220 г"
  Hyper Коктейль Молочный,275,"2,5",,"24,5",,,40,,,
   500 г
 Обед,,,,,,,,,,
 Ужин,,,,,,,,,,
 Перекус/Другое,,,,,,,,,,

Всего,28324,"1151,01","59,485","2667,22","96,15","642,1","1722,02","7180,84",1803,"9729,6"
